Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
addAddress,200,121,0,451,32.08,0.000%,19.75114,4.30,11.16,223.0
TOTAL,200,121,0,451,32.08,0.000%,19.75114,4.30,11.16,223.0
