Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
getAddress,200,118,0,193,13.03,0.000%,19.77066,18.65,5.08,966.2
TOTAL,200,118,0,193,13.03,0.000%,19.77066,18.65,5.08,966.2
