Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
addPerson,100,86,0,260,38.26,50.000%,10.10101,1.97,3.78,200.0
TOTAL,100,86,0,260,38.26,50.000%,10.10101,1.97,3.78,200.0
