Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
getAddressByCriteria,200,668,0,754,26.29,0.000%,18.00991,38.92,5.58,2213.0
TOTAL,200,668,0,754,26.29,0.000%,18.00991,38.92,5.58,2213.0
